outcome,tract,metric,N_subjects,NodesTested,NumNodewiseSignificant,NumClustersFormed,ObservedMaxClusterSize,ExtentThresholdNodes,NumClustersPassingExtent
MONETARY_FABias,anterior_l_vta_l_hipp,FA,42,100,15,2,9,22,0
MONETARY_FalseMemRate,anterior_l_vta_l_hipp,FA,42,100,0,0,0,21,0
MONETARY_HitRateBias,anterior_l_vta_l_hipp,FA,42,100,0,0,0,21,0
MONETARY_TrueMemRate,anterior_l_vta_l_hipp,FA,42,100,10,1,10,21,0
MONETARY_dprime,anterior_l_vta_l_hipp,FA,42,100,0,0,0,21,0
SOCIAL_FABias,anterior_l_vta_l_hipp,FA,41,100,0,0,0,20,0
SOCIAL_FalseMemRate,anterior_l_vta_l_hipp,FA,42,100,0,0,0,22,0
SOCIAL_HitRateBias,anterior_l_vta_l_hipp,FA,41,100,0,0,0,20,0
SOCIAL_TrueMemRate,anterior_l_vta_l_hipp,FA,42,100,0,0,0,22,0
SOCIAL_dprime,anterior_l_vta_l_hipp,FA,42,100,0,0,0,21,0
ctqsf_adult_totalabuse_pnrscoring,anterior_l_vta_l_hipp,FA,43,100,0,0,0,21,0
ctqsf_adult_totalmaltreatment_pnrscoring,anterior_l_vta_l_hipp,FA,43,100,0,0,0,21,0
ctqsf_adult_totalneglect_pnrscoring,anterior_l_vta_l_hipp,FA,43,100,0,0,0,21,0
MONETARY_FABias,anterior_l_vta_l_hipp,FWF,42,100,23,2,15,21,0
MONETARY_FalseMemRate,anterior_l_vta_l_hipp,FWF,42,100,0,0,0,23,0
MONETARY_HitRateBias,anterior_l_vta_l_hipp,FWF,42,100,3,1,3,22,0
MONETARY_TrueMemRate,anterior_l_vta_l_hipp,FWF,42,100,0,0,0,23,0
MONETARY_dprime,anterior_l_vta_l_hipp,FWF,42,100,0,0,0,23,0
SOCIAL_FABias,anterior_l_vta_l_hipp,FWF,41,100,0,0,0,23,0
SOCIAL_FalseMemRate,anterior_l_vta_l_hipp,FWF,42,100,0,0,0,22,0
SOCIAL_HitRateBias,anterior_l_vta_l_hipp,FWF,41,100,1,1,1,22,0
SOCIAL_TrueMemRate,anterior_l_vta_l_hipp,FWF,42,100,0,0,0,22,0
