Subject,condition,remember_rate,fa_rate,non_compliant
s1000,SOCIAL,0.766,0.769,False
s1000,MONETARY,0.532,0.676,False
s1143,SOCIAL,0.524,0.524,False
s1143,MONETARY,0.56,0.619,False
s1287,SOCIAL,0.512,0.488,False
s1287,MONETARY,0.542,0.439,False
s1323,SOCIAL,0.506,0.513,False
s1323,MONETARY,0.753,0.769,False
s1324,SOCIAL,0.852,0.795,False
s1324,MONETARY,0.654,0.692,False
s1350,SOCIAL,0.96,1.0,True
s1350,MONETARY,0.4,0.389,False
s1595,SOCIAL,0.5,0.487,False
s1595,MONETARY,0.405,0.333,False
s1630,SOCIAL,0.81,0.786,False
s1630,MONETARY,0.532,0.512,False
s169,SOCIAL,0.578,0.525,False
s169,MONETARY,0.5,0.405,False
s1694,SOCIAL,0.818,0.571,False
s1694,MONETARY,0.525,0.533,False
s1745,SOCIAL,0.519,0.525,False
s1745,MONETARY,0.762,0.744,False
s191,SOCIAL,0.415,0.486,False
s191,MONETARY,0.232,0.175,False
s243,SOCIAL,0.538,0.525,False
s243,MONETARY,0.446,0.381,False
s333,SOCIAL,0.452,0.415,False
s333,MONETARY,0.524,0.524,False
s35,SOCIAL,0.753,0.676,False
s35,MONETARY,0.667,0.727,False
s4127,SOCIAL,0.554,0.658,False
s4127,MONETARY,0.651,0.524,False
s418,SOCIAL,0.69,0.683,False
s418,MONETARY,0.56,0.524,False
s4210,SOCIAL,1.0,1.0,True
s4210,MONETARY,1.0,1.0,True
s4222,SOCIAL,0.628,0.579,False
s4222,MONETARY,0.41,0.405,False
s4272,SOCIAL,0.3,0.184,False
s4272,MONETARY,0.074,0.079,False
s4326,SOCIAL,0.55,0.605,False
s4326,MONETARY,0.518,0.4,False
s4345,SOCIAL,0.337,0.35,False
s4345,MONETARY,0.44,0.357,False
s4347,SOCIAL,0.524,0.525,False
s4347,MONETARY,0.561,0.525,False
s4348,SOCIAL,0.463,0.425,False
s4348,MONETARY,0.548,0.486,False
s4351,SOCIAL,0.41,0.45,False
s4351,MONETARY,0.369,0.286,False
s4361,SOCIAL,0.28,0.306,False
s4361,MONETARY,0.345,0.317,False
s4362,SOCIAL,0.488,0.476,False
s4362,MONETARY,0.583,0.537,False
s4417,SOCIAL,0.633,0.641,False
s4417,MONETARY,0.513,0.6,False
s4418,SOCIAL,0.492,0.423,False
s4418,MONETARY,0.208,0.132,False
s4419,SOCIAL,0.512,0.5,False
s4419,MONETARY,0.432,0.31,False
s4423,SOCIAL,0.911,0.892,False
s4423,MONETARY,0.429,0.375,False
s4427,SOCIAL,0.631,0.571,False
s4427,MONETARY,0.463,0.487,False
s4429,SOCIAL,0.179,0.143,False
s4429,MONETARY,0.226,0.167,False
s4436,SOCIAL,0.553,0.684,False
s4436,MONETARY,0.28,0.22,False
s4440,SOCIAL,0.549,0.5,False
s4440,MONETARY,0.699,0.619,False
s4446,SOCIAL,0.772,0.711,False
s4446,MONETARY,0.568,0.5,False
s4447,SOCIAL,0.238,0.2,False
s4447,MONETARY,0.305,0.282,False
s4449,SOCIAL,0.855,0.854,False
s4449,MONETARY,0.687,0.585,False
s4450,SOCIAL,0.702,0.667,False
s4450,MONETARY,0.578,0.548,False
s4459,SOCIAL,0.071,0.073,False
s4459,MONETARY,0.226,0.238,False
s4475,SOCIAL,0.654,0.632,False
s4475,MONETARY,0.53,0.537,False
s4482,SOCIAL,0.633,0.6,False
s4482,MONETARY,0.526,0.333,False
s4531,SOCIAL,0.537,0.415,False
s4531,MONETARY,0.634,0.55,False
s4631,SOCIAL,0.507,0.371,False
s4631,MONETARY,0.5,0.486,False
s4643,SOCIAL,0.679,0.69,False
s4643,MONETARY,0.44,0.357,False
s4650,SOCIAL,0.671,0.706,False
s4650,MONETARY,0.722,0.622,False
s523,SOCIAL,0.524,0.548,False
s523,MONETARY,0.39,0.375,False
s601,SOCIAL,0.542,0.475,False
s601,MONETARY,0.595,0.619,False
s606,SOCIAL,0.524,0.548,False
s606,MONETARY,0.524,0.405,False
s673,SOCIAL,0.568,0.561,False
s673,MONETARY,0.583,0.476,False
s692,SOCIAL,0.488,0.439,False
s692,MONETARY,0.432,0.525,False
s701,SOCIAL,0.395,0.375,False
s701,MONETARY,0.41,0.425,False
s745,SOCIAL,0.557,0.684,False
s745,MONETARY,0.658,0.65,False
s807,SOCIAL,0.58,0.485,False
s807,MONETARY,0.474,0.425,False
s926,SOCIAL,0.361,0.268,False
s926,MONETARY,0.699,0.634,False
