Subject,encoding_social_rt_mean,encoding_social_rt_median,encoding_social_n_trials,encoding_monetary_rt_mean,encoding_monetary_rt_median,encoding_monetary_n_trials,recall_social_rt_mean,recall_social_rt_median,recall_social_n_trials,recall_monetary_rt_mean,recall_monetary_rt_median,recall_monetary_n_trials
999,,,0,,,0,,,0,,,0
L2,,,0,,,0,,,0,,,0
annatest1,,,0,,,0,,,0,,,0
bellapractice1,,,0,,,0,,,0,,,0
s0105-pilot,,,0,,,0,2.019235271406138,1.964774249936454,84,1.8961201142741455,1.8638930498855188,84
s1000,1.3535056357172184,1.28514760005055,42,0.9406589731608131,0.8687544000567868,41,1.3962829531659666,1.3737475000089034,79,1.6878284137477748,1.6575504000065848,80
s1143,1.3794016142907952,1.3604596499353647,42,1.6945736547710286,1.6771677498472854,42,1.6934659666675587,1.6398564500268549,84,1.3130631702453164,1.2826683500315994,84
s1170,1.859693057933136,1.901551450137049,38,1.8837835643152219,1.9006747000385078,42,1.7402161678736225,1.8750865999609232,81,1.7955237371751513,1.8082663000095636,78
s1228-pilot,,,0,,,0,2.2721474476136443,2.3392942500067875,84,2.3166964658445157,2.3216092999791726,82
s1253,1.4124488804898248,1.418363800039515,41,1.6660751214505927,1.702280499972403,42,1.4956487083275403,1.473958499962464,84,1.6458256388137884,1.5747816001530737,85
s1287,,,0,,,0,1.7382578678689675,1.756572850048542,84,1.489758069050454,1.4492939000483602,84
s1323,1.720178947497334,1.7519007499940926,40,1.8617777200008276,1.86978695000289,40,1.5944188240966732,1.556614700006321,83,1.542401339757433,1.5403355000016743,83
s1324,1.6972621404829191,1.6030163500108756,42,1.3429439999953112,1.36861730000237,42,1.6864291654330574,1.7071192999719642,81,1.780861765851136,1.7826104500272777,82
s1350,1.713040954761839,1.6351978000020608,42,1.6165166341482446,1.6510503999888897,41,1.3925318051734739,1.3317504999868106,58,1.6421214645581845,1.7562403999909293,79
s1476,,,0,,,0,1.954976623170518,1.9730240999997475,82,1.851162711764482,1.8243459000004805,85
s1595,,,0,,,0,1.636626593748224,1.589267099974677,80,1.4734495238101641,1.3904161498649046,84
s1630,1.4666162261925084,1.4194493500108365,42,1.0511847523808857,1.076842200011015,42,1.6045318952424819,1.5744361500255764,84,1.7803003792729082,1.856814749975456,82
s169,,,0,,,0,1.48242843058919,1.474210399959702,85,1.3589633130967351,1.2651632000342943,84
s1694,1.074013408333283,1.0944113000005018,36,1.307120543749761,1.218667599998298,32,0.7487534324999615,0.657696099999157,80,0.9937255130436983,0.8578207499995187,46
s172,1.4040192190247278,1.382508449954912,42,1.7138016047177924,1.7242966000922024,42,1.733922575001738,1.7041447500232607,84,1.8715250738009455,1.915522149996832,84
s1745,,,0,,,0,1.6261324951753402,1.524773700046353,83,1.4223495847162078,1.2900521999690682,85
s191,1.6013840099913068,1.602121299947612,40,1.470500654768243,1.4274159498745576,42,1.454334715653368,1.4073716001585126,83,1.517418424984152,1.4817350000375882,84
s243,1.4340538976082047,1.4199877999490127,42,1.7208881952378543,1.577603550045751,42,1.8541060790080393,1.8404047000221908,81,1.7099896904879384,1.666031299973838,84
s313,1.896615409502937,1.9336711501237005,42,1.8225646700011566,1.7829144501592964,40,1.8571960457757744,1.8567241998389363,83,1.8242013456794306,1.8914793003350496,81
s331,1.434055999985763,1.4001819998957217,42,1.331901592867715,1.2655471498146653,42,1.7034322154719295,1.7319805999286473,84,1.693389769055925,1.6984181499574333,84
s333,1.1726845714230356,1.152849750011228,42,0.9936046238206993,0.960868600057438,42,1.6009076642803848,1.5570084499777295,84,1.5282470785743845,1.4904619999579154,84
s35,,,0,,,0,1.6014089012811057,1.674334949995682,78,1.8113586451205574,1.849017599997751,82
s4074,1.2800851534878792,1.267646899970714,43,0.9032959255787847,0.7825349000049755,43,1.2294165604655782,1.172841649997281,86,1.237631788094794,1.1484287999919616,84
s4127,,,0,,,0,1.6974457987929212,1.6057931000832468,83,1.8260661095208932,1.765048349974677,84
s418,,,0,,,0,1.6353411821432278,1.5908294999971986,84,1.7462023785642704,1.7489755499991588,84
s4210,1.6899866414641131,1.6684338000050047,41,1.5313504166659273,1.5524285999999847,42,1.3560259940478274,1.314721599999757,84,1.3477024581077637,1.2569343999930425,74
s4222,1.739906919047436,1.7530037500000617,42,1.3414813928570115,1.3184834499988938,42,1.751804968750821,1.8155140000017127,80,1.5171575559526813,1.5146449499989103,84
s4272,1.7640951292663132,1.801534099970013,41,1.6298418142805098,1.7018613499822095,42,1.6311483597666843,1.6231961000012234,82,1.5544308792776995,1.4491162999765947,82
s4326,,,0,,,0,1.554044020736999,1.547762249945663,82,1.6485326518192438,1.540264599956572,83
s4331,1.7153536928762194,1.7251468500471674,42,1.7071256023759598,1.7343150500091724,42,1.7818493071425197,1.7911338499980047,84,1.7989726666641044,1.8645149499643594,84
s4342,1.6405755333364054,1.6506584999733604,42,1.7526054952343526,1.8588570499559864,42,1.535401169514488,1.532007500063628,82,1.6697953397629737,1.7566812000004577,83
s4345,,,0,,,0,1.644210629761108,1.5565648500341922,84,1.4322658547566138,1.4068514499813318,84
s4347,,,0,,,0,1.7459345273806928,1.7407971499997075,84,1.8397589250002748,1.8571373000086169,84
s4348,,,0,,,0,2.015834003614474,2.0749273000001267,83,1.926944555555621,2.0740259999993214,81
s4351,1.7266871976095164,1.7018598999711685,42,1.4285507309527712,1.3698245499981567,42,1.738893542859365,1.7391365000221413,84,1.6448882309570243,1.5660716500133276,84
s4361,1.7855637775021023,1.886407700018026,40,1.7459318302301041,1.886439500027336,43,2.09025721785812,2.124202550010523,84,1.8734709226222808,1.8903844000305983,84
s4362,1.7018235500075942,1.6771701999823563,42,1.6137829261937267,1.6185975999687798,42,1.6681761976201197,1.6318790499935858,84,1.6216532178583467,1.5983526000054553,84
s4417,,,0,,,0,1.755976050617504,1.8235478000133296,81,1.6095217105260082,1.498840299987933,76
s4418,,,0,,,0,1.3278426306451219,1.3324557499995535,62,1.451693683544317,1.4060551000002306,79
s4419,,,0,,,0,1.7924579214263108,1.723977149988059,84,1.7911241988116497,1.8489168000523932,84
s4423,1.63941978780491,1.602347500003816,41,1.5422862928569971,1.502756549998594,42,1.4933476817072582,1.4579565499989258,82,1.3745549857140715,1.382255399999849,84
s4427,,,0,,,0,1.5042137238103481,1.3816738000023179,84,1.4855420578310423,1.4897798000019975,83
s4429,,,0,,,0,1.534483657147835,1.4239531499915756,84,1.3189196892864337,1.2319360999390483,84
s4436,,,0,,,0,1.6960066164566698,1.6905725999968126,79,1.8283576231716745,1.7987715000053868,82
s4440,1.420235666659816,1.4272561000252608,42,1.7817344738120613,1.8015810500073712,42,1.5469859771133143,1.5410894000087865,83,1.8697476855469362,1.858293700031936,83
s4446,,,0,,,0,1.922762809636868,2.0560851000482216,83,2.013754457841257,2.256090399925597,83
s4447,,,0,,,0,1.915483132533516,1.9738476999336851,83,1.9399013083353307,1.9492887999513187,84
s4449,,,0,,,0,1.6883278452376198,1.6243175999989035,84,1.5631690416666537,1.5318145000001095,84
s4450,1.1837178452406079,1.0945795499719677,42,1.2763148666653295,1.2190418500103988,42,1.5608729904786396,1.490738800028339,84,1.7550453214304678,1.7992310000117868,84
s4459,,,0,,,0,1.1827829797618852,1.165913300000284,84,0.9178355369048015,0.8577273500004594,84
s4475,,,0,,,0,1.6459867108433281,1.706714699999793,83,1.5108714361445583,1.523570400000608,83
s4482,1.6476028425095137,1.7190453000366688,40,1.4674733166660492,1.399025100050494,42,2.01216398170729,2.098813699965831,82,1.904677675608205,1.9823959000059403,82
