tract,outcome,sig,p,nodes,dirn,maxc,thr
posthipp,MONETARY_valacc_negative,False,,,,0,34
posthipp,MONETARY_gist_given_error,False,,,,0,30
anthipp,MONETARY_hit_negative,False,,,,0,30
posthipp,MONETARY_strict_hit,False,,,,11,34
posthipp,MONETARY_pr,False,,,,0,29
anthipp,SOCIAL_pred_valacc,False,,,,0,31
anthipp,SOCIAL_pr,False,,,,13,32
posthipp,SOCIAL_pred_valacc,False,,,,0,32
anthipp,SOCIAL_prop_remember,False,,,,0,30
posthipp,SOCIAL_valacc_positive,False,,,,0,30
anthipp,MONETARY_Aprime,False,,,,0,32
posthipp,SOCIAL_pr,False,,,,22,30
posthipp,MONETARY_rt_hit_minus_miss,False,,,,0,31
posthipp,MONETARY_hit_valenced,False,,,,0,30
anthipp,SOCIAL_criterion,False,,,,0,30
anthipp,MONETARY_hit_positive,False,,,,0,30
posthipp,MONETARY_valacc_positive,False,,,,3,29
anthipp,MONETARY_motivated_mem,False,,,,0,32
posthipp,MONETARY_Aprime,False,,,,0,31
posthipp,SOCIAL_valacc_negative,False,,,,0,32
anthipp,SOCIAL_Aprime,False,,,,13,32
posthipp,SOCIAL_gist_error_ratio,False,,,,0,31
posthipp,MONETARY_hit_pos_minus_neg,False,,,,1,32
anthipp,SOCIAL_gist_error_ratio,False,,,,3,32
posthipp,SOCIAL_dprime,False,,,,22,33
posthipp,MONETARY_hit_negative,False,,,,0,32
anthipp,SOCIAL_precision_given_hit,False,,,,7,27
anthipp,MONETARY_prop_remember,False,,,,0,30
posthipp,MONETARY_n_fa,False,,,,0,29
anthipp,MONETARY_gist_error_ratio,False,,,,0,30
posthipp,MONETARY_hit_positive,False,,,,10,29
anthipp,MONETARY_hit_valenced,False,,,,0,31
posthipp,MONETARY_valacc_valenced,False,,,,0,30
posthipp,MONETARY_val_dprime,False,,,,0,28
anthipp,SOCIAL_motivated_mem,False,,,,0,30
anthipp,MONETARY_pr,False,,,,0,30
posthipp,MONETARY_pred_valacc,True,0.021,22-79,Positive,58,31
posthipp,MONETARY_motivated_valacc,False,,,,2,27
posthipp,MONETARY_full_precision,False,,,,11,34
anthipp,MONETARY_fa_fabrication,False,,,,0,29
posthipp,MONETARY_rt_mean,False,,,,0,30
posthipp,MONETARY_fa_source_conf,False,,,,0,31
posthipp,SOCIAL_motivated_mem,False,,,,0,32
posthipp,MONETARY_criterion,False,,,,0,33
anthipp,MONETARY_criterion,False,,,,0,30
posthipp,SOCIAL_hit_negative,False,,,,0,32
anthipp,SOCIAL_fa_fabrication,False,,,,0,30
anthipp,MONETARY_hit,False,,,,0,31
posthipp,MONETARY_valacc_all_old,False,,,,0,31
posthipp,SOCIAL_dprime_snodgrass,True,0.0238,0-56,Positive,57,31
anthipp,MONETARY_pred_valacc,True,0.0068,17-99,Positive,83,29
anthipp,SOCIAL_fa_ll,False,,,,0,30
anthipp,SOCIAL_hit_pos_minus_neg,True,0.0282,40-87,Negative,48,30
anthipp,SOCIAL_rt_sd,False,,,,0,32
posthipp,SOCIAL_full_precision,False,,,,0,31
posthipp,SOCIAL_fa_source_conf,False,,,,0,34
anthipp,MONETARY_rt_hit_minus_miss,False,,,,0,30
anthipp,SOCIAL_rt_mean,False,,,,0,29
posthipp,SOCIAL_Aprime,True,0.0222,0-57,Positive,58,30
anthipp,SOCIAL_hit,False,,,,0,30
posthipp,SOCIAL_hit_positive,False,,,,0,31
posthipp,SOCIAL_valacc_all_old,False,,,,0,31
anthipp,MONETARY_n_fa,False,,,,0,29
anthipp,MONETARY_fa_ll,False,,,,0,31
anthipp,MONETARY_hit_pos_minus_neg,False,,,,0,29
posthipp,SOCIAL_precision_given_hit,False,,,,3,32
posthipp,MONETARY_valacc_given_hit,False,,,,0,31
anthipp,SOCIAL_rt_hit_minus_miss,False,,,,15,28
posthipp,MONETARY_dprime_loglinear,False,,,,0,31
posthipp,MONETARY_precision_given_hit,False,,,,0,29
posthipp,SOCIAL_fa_adjCriterion,False,,,,9,30
posthipp,MONETARY_dprime,False,,,,8,30
posthipp,SOCIAL_fa_fabrication,False,,,,0,29
anthipp,SOCIAL_dprime,False,,,,9,32
posthipp,MONETARY_fa_adjCriterion,False,,,,4,28
anthipp,MONETARY_valacc_all_old,False,,,,15,32
anthipp,SOCIAL_dprime_snodgrass,False,,,,13,32
posthipp,SOCIAL_gist_above_chance,False,,,,0,31
anthipp,SOCIAL_fa_source_conf,False,,,,0,32
anthipp,SOCIAL_full_precision,False,,,,0,30
anthipp,SOCIAL_valacc_all_old,False,,,,0,33
anthipp,MONETARY_fa_source_conf,False,,,,0,31
posthipp,SOCIAL_hit_valenced,False,,,,0,32
anthipp,MONETARY_dprime,False,,,,0,32
posthipp,SOCIAL_prop_remember,False,,,,0,31
anthipp,MONETARY_rt_sd,False,,,,0,29
anthipp,MONETARY_dprime_snodgrass,False,,,,0,31
posthipp,MONETARY_fa_fabrication,False,,,,0,33
anthipp,MONETARY_full_precision,False,,,,0,31
posthipp,MONETARY_gist_above_chance,False,,,,0,30
anthipp,MONETARY_valacc_negative,False,,,,0,30
anthipp,SOCIAL_HitRateBias,False,,,,24,30
posthipp,SOCIAL_HitRateBias,False,,,,0,33
anthipp,SOCIAL_fa,False,,,,0,30
posthipp,SOCIAL_dprime_loglinear,True,0.0234,0-56,Positive,57,31
