tract,outcome,n,maxc,thr,sig,p,nodes,dirn
posthipp,MONETARY_valacc_negative,53,0,27,False,,,
posthipp,MONETARY_gist_given_error,52,0,25,False,,,
anthipp,MONETARY_hit_negative,53,0,27,False,,,
posthipp,MONETARY_strict_hit,53,12,27,False,,,
posthipp,MONETARY_pr,53,0,26,False,,,
anthipp,SOCIAL_pred_valacc,52,0,28,False,,,
anthipp,SOCIAL_pr,52,0,29,False,,,
posthipp,SOCIAL_pred_valacc,52,0,26,False,,,
anthipp,SOCIAL_prop_remember,52,0,30,False,,,
posthipp,SOCIAL_valacc_positive,52,0,27,False,,,
anthipp,MONETARY_Aprime,53,0,28,False,,,
posthipp,SOCIAL_pr,52,28,25,True,0.0426,28-55,Positive
posthipp,MONETARY_rt_hit_minus_miss,52,0,26,False,,,
posthipp,MONETARY_hit_valenced,53,0,25,False,,,
anthipp,SOCIAL_criterion,52,0,29,False,,,
anthipp,MONETARY_hit_positive,53,9,27,False,,,
posthipp,MONETARY_valacc_positive,53,0,26,False,,,
anthipp,MONETARY_motivated_mem,53,0,30,False,,,
posthipp,MONETARY_Aprime,53,0,27,False,,,
posthipp,SOCIAL_valacc_negative,52,0,26,False,,,
anthipp,SOCIAL_Aprime,52,0,29,False,,,
posthipp,SOCIAL_gist_error_ratio,51,0,26,False,,,
posthipp,MONETARY_hit_pos_minus_neg,53,1,26,False,,,
anthipp,SOCIAL_gist_error_ratio,51,0,29,False,,,
posthipp,SOCIAL_dprime,52,24,25,False,,,
posthipp,MONETARY_hit_negative,53,0,25,False,,,
anthipp,SOCIAL_precision_given_hit,51,7,28,False,,,
anthipp,MONETARY_prop_remember,53,0,28,False,,,
posthipp,MONETARY_n_fa,52,0,26,False,,,
anthipp,MONETARY_gist_error_ratio,52,0,28,False,,,
posthipp,MONETARY_hit_positive,53,10,26,False,,,
anthipp,MONETARY_hit_valenced,53,0,28,False,,,
posthipp,MONETARY_valacc_valenced,53,0,27,False,,,
posthipp,MONETARY_val_dprime,53,0,28,False,,,
anthipp,SOCIAL_motivated_mem,52,0,30,False,,,
anthipp,MONETARY_pr,53,0,28,False,,,
posthipp,MONETARY_pred_valacc,53,0,27,False,,,
posthipp,MONETARY_motivated_valacc,53,4,25,False,,,
posthipp,MONETARY_full_precision,53,12,27,False,,,
anthipp,MONETARY_fa_fabrication,53,0,26,False,,,
